Match_ID,Player_Name,Batting_Runs,Batting_Mins,Batting_BF,Batting_4s,Batting_6s,Batting_SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Batting_Performance,Bowlling_Overs,Bowlling_Mdns,Bowlling_Runs,Bowlling_Wkts,Bowlling_Econ,Bowlling_Pos,Bowlling_Inns,Bowlling_Performance,Opposition,Ground,Start_Date
ODI # 4076,Dasun Shanaka,2,-,7,0,0,28.57,5,lbw,2,Low,6,0,36,0,6,6,1,High,v New Zealand,Nelson,8-Jan-19
ODI # 4058,Dasun Shanaka,18,-,11,3,0,163.63,5,caught,1,High,DNB,-,-,-,-,-,2,-,v England,Colombo (RPS),23-Oct-18
ODI # 4055,Dasun Shanaka,66,-,66,4,5,100,6,run out,1,High,DNB,-,-,-,-,-,2,-,v England,Pallekele,20-Oct-18
ODI # 4054,Dasun Shanaka,21,-,10,1,2,210,7,bowled,1,High,DNB,-,-,-,-,-,2,-,v England,Pallekele,17-Oct-18
ODI # 4053,Dasun Shanaka,8,18,15,1,0,53.33,5,caught,2,High,DNB,-,-,-,-,-,1,-,v England,Dambulla,13-Oct-18
ODI # 4052,Dasun Shanaka,TDNB,-,-,-,-,-,-,-,-,-,DNB,-,-,-,-,-,1,-,v England,Dambulla,10-Oct-18
ODI # 4038,Dasun Shanaka,0,-,2,0,0,0,8,bowled,2,Low,DNB,-,-,-,-,-,1,-,v Afghanistan,Abu Dhabi,17-Sep-18
ODI # 4036,Dasun Shanaka,7,-,22,0,0,31.81,6,run out,2,Low,3,0,19,0,6.33,7,1,High,v Bangladesh,Dubai (DICS),15-Sep-18
ODI # 4031,Dasun Shanaka,21,-,15,2,1,140,8,caught,1,High,DNB,-,-,-,-,-,2,-,v South Africa,Colombo (RPS),12-Aug-18
ODI # 4030,Dasun Shanaka,65,-,34,4,5,191.17,8,caught,1,High,2,0,20,1,10,4,2,High,v South Africa,Pallekele,8-Aug-18
ODI # 3810,Dasun Shanaka,DNB,-,-,-,-,-,-,-,2,-,2,0,18,0,9,4,1,High,v Zimbabwe,Bulawayo,27-Nov-16
ODI # 3807,Dasun Shanaka,TDNB,-,-,-,-,-,-,-,-,-,2,0,5,0,2.5,3,1,Low,v Zimbabwe,Bulawayo,21-Nov-16
ODI # 3776,Dasun Shanaka,13,38,17,1,0,76.47,7,bowled,1,High,2,0,10,0,5,4,2,High,v Australia,Pallekele,4-Sep-16
ODI # 3758,Dasun Shanaka,22,24,29,1,1,75.86,7,stumped,2,High,DNB,-,-,-,-,-,1,-,v England,Cardiff,2-Jul-16
ODI # 3757,Dasun Shanaka,19,16,10,3,0,190,7,not out,1,High,1,0,12,0,12,5,2,High,v England,The Oval,29-Jun-16
ODI # 3755,Dasun Shanaka,2,9,8,0,0,25,8,run out,1,Low,DNB,-,-,-,-,-,2,-,v England,Bristol,26-Jun-16
ODI # 3751,Dasun Shanaka,20,23,19,1,1,105.26,8,run out,1,High,3,0,21,0,7,3,2,High,v England,Nottingham,21-Jun-16
ODI # 3749,Dasun Shanaka,1,-,2,0,0,50,4,caught,1,High,6,0,35,1,5.83,4,2,High,v Ireland,Dublin (Malahide),18-Jun-16
ODI # 3748,Dasun Shanaka,42,-,19,5,3,221.05,6,bowled,1,High,9,0,43,5,4.77,5,2,High,v Ireland,Dublin (Malahide),16-Jun-16
ODI # 4698,Dhananjaya De Silva,19,36,24,2,1,79.16,7,,1,High,2,0,22,0,11,3,2,High,v New Zealand,Bengaluru,9-Nov-23
ODI # 4695,Dhananjaya De Silva,34,58,36,4,1,94.44,7,,1,High,3,0,20,0,6.66,6,2,High,v Bangladesh,Delhi,6-Nov-23
ODI # 4687,Dhananjaya De Silva,14,24,26,1,0,53.84,6,,1,High,4,0,21,0,5.25,6,2,High,v Afghanistan,Pune,30-Oct-23
ODI # 4682,Dhananjaya De Silva,DNB,-,-,-,-,-,-,,2,-,1,0,10,0,10,6,1,High,v England,Bengaluru,26-Oct-23
ODI # 4676,Dhananjaya De Silva,30,57,37,1,2,81.08,6,,2,High,4,0,13,0,3.25,6,1,Low,v Netherlands,Lucknow,21-Oct-23
ODI # 4671,Dhananjaya De Silva,7,13,13,1,0,53.84,6,,1,High,3,0,13,0,4.33,6,2,High,v Australia,Lucknow,16-Oct-23
ODI # 4665,Dhananjaya De Silva,25,47,34,3,0,73.52,6,,1,High,4,0,36,0,9,6,2,High,v Pakistan,Hyderabad,10-Oct-23
ODI # 4661,Dhananjaya De Silva,11,28,14,1,0,78.57,6,,2,High,4,0,39,0,9.75,4,1,High,v South Africa,Delhi,7-Oct-23
ODI # 4649,Dhananjaya De Silva,4,2,2,1,0,200,6,,1,High,DNB,-,-,-,-,-,2,-,v India,Colombo (RPS),17-Sep-23
ODI # 4644,Dhananjaya De Silva,5,17,7,0,0,71.42,7,,2,High,6,0,28,0,4.66,6,1,High,v Pakistan,Colombo (RPS),14-Sep-23
ODI # 4641,Dhananjaya De Silva,41,84,66,5,0,62.12,6,,2,High,10,0,28,0,2.8,6,1,Low,v India,Colombo (RPS),12-Sep-23
ODI # 4637,Dhananjaya De Silva,6,19,16,0,0,37.5,6,,1,Low,4,0,18,0,4.5,6,2,High,v Bangladesh,Colombo (RPS),9-Sep-23
ODI # 4633,Dhananjaya De Silva,14,18,19,1,0,73.68,6,,1,High,1.4,0,12,2,7.2,6,2,High,v Afghanistan,Lahore,5-Sep-23
ODI # 4629,Dhananjaya De Silva,2,5,7,0,0,28.57,6,,2,Low,10,0,35,1,3.5,3,1,Low,v Bangladesh,Pallekele,31-Aug-23
ODI # 4620,Dhananjaya De Silva,4,16,8,0,0,50,6,,1,High,DNB,-,-,-,-,-,2,-,v Netherlands,Harare,9-Jul-23
ODI # 4609,Dhananjaya De Silva,DNB,-,-,-,-,-,-,,2,-,4,0,37,0,9.25,6,1,High,v Zimbabwe,Bulawayo,2-Jul-23
ODI # 4606,Dhananjaya De Silva,93,159,111,8,2,83.78,6,,1,High,7,0,25,0,3.57,6,2,Low,v Netherlands,Bulawayo,30-Jun-23
ODI # 4603,Dhananjaya De Silva,23,38,31,2,0,74.19,6,,1,High,2,0,18,0,9,6,2,High,v Scotland,Bulawayo,27-Jun-23
ODI # 4599,Dhananjaya De Silva,42,65,35,4,1,120,6,,1,High,DNB,-,-,-,-,-,2,-,v Ireland,Bulawayo,25-Jun-23
ODI # 4595,Dhananjaya De Silva,DNB,-,-,-,-,-,-,,2,-,3,0,13,0,4.33,6,1,High,v Oman,Bulawayo,23-Jun-23
ODI # 4587,Dhananjaya De Silva,5,-,5,0,0,100,7,,1,High,4,0,25,1,6.25,6,2,High,v U.A.E.,Bulawayo,19-Jun-23
ODI # 4583,Dhananjaya De Silva,DNB,-,-,-,-,-,-,,2,-,DNB,-,-,-,-,-,1,-,v Afghanistan,Hambantota,7-Jun-23
ODI # 4580,Dhananjaya De Silva,29,55,24,1,1,120.83,6,,1,High,10,0,39,3,3.9,6,2,Low,v Afghanistan,Hambantota,4-Jun-23
ODI # 4579,Dhananjaya De Silva,51,71,59,5,0,86.44,6,,1,High,10,0,44,0,4.4,6,2,High,v Afghanistan,Hambantota,2-Jun-23
ODI # 4557,Dhananjaya De Silva,13,19,21,2,0,61.9,6,,1,High,DNB,-,-,-,-,-,2,-,v New Zealand,Hamilton,31-Mar-23
ODI # 4503,Dhananjaya De Silva,0,4,1,0,0,0,4,,1,Low,3,0,9,1,3,7,2,Low,v India,Eden Gardens,12-Jan-23
ODI # 4501,Dhananjaya De Silva,47,40,40,9,0,117.5,5,,2,High,5,0,33,1,6.6,7,1,High,v India,Guwahati,10-Jan-23
ODI # 4490,Dhananjaya De Silva,5,7,11,1,0,45.45,4,,2,Low,8,0,42,1,5.25,5,1,High,v Afghanistan,Pallekele,30-Nov-22
ODI # 4488,Dhananjaya De Silva,DNB,-,-,-,-,-,-,,2,-,10,0,37,1,3.7,6,1,Low,v Afghanistan,Pallekele,27-Nov-22
ODI # 4485,Dhananjaya De Silva,16,20,16,3,0,100,4,,2,High,3,0,14,0,4.66,7,1,High,v Afghanistan,Pallekele,25-Nov-22
ODI # 4416,Dhananjaya De Silva,60,90,61,7,0,98.36,4,,1,High,10,0,39,2,3.9,5,2,Low,v Australia,Colombo (RPS),21-Jun-22
ODI # 4415,Dhananjaya De Silva,25,25,17,4,0,147.05,4,,2,High,6,0,35,1,5.83,6,1,High,v Australia,Colombo (RPS),19-Jun-22
ODI # 4412,Dhananjaya De Silva,34,45,41,2,1,82.92,4,,1,High,6,0,26,2,4.33,3,2,High,v Australia,Pallekele,16-Jun-22
ODI # 4409,Dhananjaya De Silva,7,19,17,0,0,41.17,4,,1,Low,3,0,14,0,4.66,6,2,High,v Australia,Pallekele,14-Jun-22
ODI # 4318,Dhananjaya De Silva,31,56,44,2,0,70.45,4,,1,High,3,0,18,0,6,5,2,High,v South Africa,Colombo (RPS),7-Sep-21
ODI # 4315,Dhananjaya De Silva,12,46,24,0,0,50,4,,2,High,7,0,30,1,4.28,7,1,High,v South Africa,Colombo (RPS),4-Sep-21
ODI # 4314,Dhananjaya De Silva,44,74,62,5,0,70.96,4,,1,High,8,0,35,0,4.37,7,2,High,v South Africa,Colombo (RPS),2-Sep-21
ODI # 4312,Dhananjaya De Silva,2,10,9,0,0,22.22,4,,2,Low,DNB,-,-,-,-,-,1,-,v India,Colombo (RPS),23-Jul-21
ODI # 4309,Dhananjaya De Silva,32,52,45,1,0,71.11,4,,1,High,3,0,10,0,3.33,7,2,Low,v India,Colombo (RPS),20-Jul-21
ODI # 4307,Dhananjaya De Silva,14,32,27,1,0,51.85,4,,1,High,5,0,49,2,9.8,3,2,High,v India,Colombo (RPS),18-Jul-21
ODI # 4298,Dhananjaya De Silva,4,20,12,1,0,33.33,4,,1,Low,TDNB,-,-,-,-,-,-,-,v England,Bristol,4-Jul-21
ODI # 4297,Dhananjaya De Silva,91,150,91,13,0,100,4,,1,High,2,0,10,0,5,6,2,High,v England,The Oval,1-Jul-21
ODI # 4292,Dhananjaya De Silva,55,113,70,4,0,78.57,5,,1,High,4,0,14,0,3.5,1,2,Low,v Bangladesh,Mirpur,28-May-21
ODI # 4291,Dhananjaya De Silva,10,25,21,0,0,47.61,5,,2,Low,3,0,23,0,7.66,6,1,High,v Bangladesh,Mirpur,25-May-21
ODI # 4290,Dhananjaya De Silva,9,17,15,1,0,60,5,,2,High,10,0,45,3,4.5,3,1,High,v Bangladesh,Mirpur,23-May-21
ODI # 4250,Dhananjaya De Silva,51,-,47,5,0,108.51,6,,1,High,5,0,13,0,2.6,7,2,Low,v West Indies,Pallekele,1-Mar-20
ODI # 4247,Dhananjaya De Silva,12,-,5,2,0,240,7,,1,High,DNB,-,-,-,-,-,2,-,v West Indies,Hambantota,26-Feb-20
ODI # 4246,Dhananjaya De Silva,18,-,29,2,0,62.06,6,,2,High,3,0,16,0,5.33,7,1,High,v West Indies,Colombo (SSC),22-Feb-20
ODI # 4194,Dhananjaya De Silva,DNB,-,-,-,-,-,-,,2,-,10,0,39,0,3.9,1,1,Low,v Bangladesh,Colombo (RPS),28-Jul-19
ODI # 4193,Dhananjaya De Silva,18,-,12,3,0,150,8,,1,High,10,0,49,2,4.9,5,2,High,v Bangladesh,Colombo (RPS),26-Jul-19
ODI # 4187,Dhananjaya De Silva,29,60,36,1,0,80.55,7,,1,High,6,0,51,0,8.5,5,2,High,v India,Leeds,6-Jul-19
ODI # 4180,Dhananjaya De Silva,6,5,3,1,0,200,8,,1,High,10,0,49,0,4.9,2,2,High,v West Indies,Chester-le-Street,1-Jul-19
ODI # 4176,Dhananjaya De Silva,24,54,41,2,0,58.53,6,,1,High,4,0,18,0,4.5,2,2,High,v South Africa,Chester-le-Street,28-Jun-19
ODI # 4168,Dhananjaya De Silva,29,48,47,1,0,61.7,7,,1,High,8,0,32,3,4,3,2,High,v England,Leeds,21-Jun-19
ODI # 4159,Dhananjaya De Silva,16,43,30,2,0,53.33,8,,2,High,8,0,40,2,5,5,1,High,v Australia,The Oval,15-Jun-19
ODI # 4149,Dhananjaya De Silva,0,7,4,0,0,0,6,,1,Low,1,0,7,0,7,6,2,High,v Afghanistan,Cardiff,4-Jun-19
ODI # 4145,Dhananjaya De Silva,4,15,13,1,0,30.76,5,,1,Low,DNB,-,-,-,-,-,2,-,v New Zealand,Cardiff,1-Jun-19
ODI # 4142,Dhananjaya De Silva,7,-,10,0,0,70,7,,1,High,5.2,0,30,0,5.62,3,2,High,v Scotland,Edinburgh,21-May-19
ODI # 4115,Dhananjaya De Silva,12,14,12,2,0,100,8,,1,High,1,0,3,0,3,2,2,Low,v South Africa,Cape Town,16-Mar-19
ODI # 4114,Dhananjaya De Silva,22,61,46,2,0,47.82,7,,1,Low,10,1,41,3,4.1,1,2,High,v South Africa,Gqeberha,13-Mar-19
ODI # 4107,Dhananjaya De Silva,15,27,26,2,0,57.69,6,,2,High,8,0,55,2,6.87,3,1,High,v South Africa,Centurion,6-Mar-19
ODI # 4104,Dhananjaya De Silva,39,73,52,3,0,75,6,,1,High,4,0,21,0,5.25,5,2,High,v South Africa,Johannesburg,3-Mar-19
ODI # 4076,Dhananjaya De Silva,36,-,29,5,1,124.13,2,,2,High,5,0,35,0,7,7,1,High,v New Zealand,Nelson,8-Jan-19
ODI # 4058,Dhananjaya De Silva,19,-,15,1,1,126.66,7,,1,High,4,0,18,1,4.5,4,2,High,v England,Colombo (RPS),23-Oct-18
ODI # 4055,Dhananjaya De Silva,17,-,28,2,0,60.71,5,,1,High,4,0,18,0,4.5,5,2,High,v England,Pallekele,20-Oct-18
ODI # 4054,Dhananjaya De Silva,3,-,10,0,0,30,6,,1,Low,4,0,23,0,5.75,4,2,High,v England,Pallekele,17-Oct-18
ODI # 4053,Dhananjaya De Silva,36,66,50,2,1,72,6,,2,High,4,0,19,1,4.75,6,1,High,v England,Dambulla,13-Oct-18
ODI # 4052,Dhananjaya De Silva,TDNB,-,-,-,-,-,-,,-,-,DNB,-,-,-,-,-,1,-,v England,Dambulla,10-Oct-18
ODI # 4038,Dhananjaya De Silva,23,-,38,2,1,60.52,3,,2,High,5,0,22,0,4.4,5,1,High,v Afghanistan,Abu Dhabi,17-Sep-18
ODI # 4036,Dhananjaya De Silva,0,-,3,0,0,0,4,,2,Low,7,0,38,2,5.42,6,1,High,v Bangladesh,Dubai (DICS),15-Sep-18
ODI # 4031,Dhananjaya De Silva,30,-,41,1,1,73.17,6,,1,High,4,0,21,1,5.25,3,2,High,v South Africa,Colombo (RPS),12-Aug-18
ODI # 4030,Dhananjaya De Silva,10,-,10,2,0,100,6,,1,High,4,0,26,1,6.5,6,2,High,v South Africa,Pallekele,8-Aug-18
ODI # 4029,Dhananjaya De Silva,84,-,66,8,3,127.27,7,,2,High,5,0,32,0,6.4,6,1,High,v South Africa,Pallekele,5-Aug-18
ODI # 3888,Dhananjaya De Silva,1,6,6,0,0,16.66,6,,1,Low,1,0,3,0,3,7,2,Low,v Pakistan,Cardiff,12-Jun-17
ODI # 3834,Dhananjaya De Silva,11,30,19,1,0,57.89,5,,2,High,4,0,24,0,6,4,1,High,v South Africa,Centurion,10-Feb-17
ODI # 3833,Dhananjaya De Silva,5,18,14,0,0,35.71,5,,2,Low,3,0,18,0,6,4,1,High,v South Africa,Cape Town,7-Feb-17
ODI # 3831,Dhananjaya De Silva,16,24,25,2,0,64,5,,1,High,1,0,8,0,8,6,2,High,v South Africa,Johannesburg,4-Feb-17
ODI # 3830,Dhananjaya De Silva,1,5,5,0,0,20,5,,2,Low,8,0,42,1,5.25,3,1,High,v South Africa,Durban,1-Feb-17
ODI # 3828,Dhananjaya De Silva,28,77,53,1,0,52.83,6,,1,High,2,0,9,0,4.5,3,2,High,v South Africa,Gqeberha,28-Jan-17
ODI # 3810,Dhananjaya De Silva,0,1,1,0,0,0,1,,2,Low,DNB,-,-,-,-,-,1,-,v Zimbabwe,Bulawayo,27-Nov-16
ODI # 3808,Dhananjaya De Silva,58,83,60,7,0,96.66,1,,1,High,DNB,-,-,-,-,-,2,-,v West Indies,Bulawayo,23-Nov-16
ODI # 3807,Dhananjaya De Silva,TDNB,-,-,-,-,-,-,,-,-,1,0,4,0,4,4,1,High,v Zimbabwe,Bulawayo,21-Nov-16
ODI # 3805,Dhananjaya De Silva,3,16,10,0,0,30,1,,2,Low,DNB,-,-,-,-,-,1,-,v West Indies,Harare,16-Nov-16
ODI # 3804,Dhananjaya De Silva,78,103,75,12,0,104,1,,2,High,DNB,-,-,-,-,-,1,-,v Zimbabwe,Harare,14-Nov-16
ODI # 3776,Dhananjaya De Silva,34,59,47,4,0,72.34,1,,1,High,7,0,35,2,5,6,2,High,v Australia,Pallekele,4-Sep-16
ODI # 3774,Dhananjaya De Silva,76,135,87,9,0,87.35,1,,1,High,4,0,21,0,5.25,5,2,High,v Australia,Dambulla,31-Aug-16
ODI # 3772,Dhananjaya De Silva,12,39,30,1,0,40,6,,1,Low,4,0,21,1,5.25,7,2,High,v Australia,Dambulla,28-Aug-16
ODI # 3769,Dhananjaya De Silva,7,15,10,1,0,70,6,,1,High,4,0,20,0,5,7,2,High,v Australia,Colombo (RPS),24-Aug-16
ODI # 3768,Dhananjaya De Silva,2,15,6,0,0,33.33,6,,1,Low,DNB,-,-,-,-,-,2,-,v Australia,Colombo (RPS),21-Aug-16
ODI # 3748,Dhananjaya De Silva,3,-,3,0,0,100,9,,1,High,1,0,7,0,7,6,2,High,v Ireland,Dublin (Malahide),16-Jun-16
ODI # 4786,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,1,-,5,0,50,1,10,2,2,High,v West Indies,Pallekele,26-Oct-24
ODI # 4744,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,6.4,1,30,2,4.5,1,1,High,v Bangladesh,Chattogram,15-Mar-24
ODI # 4743,Dilshan Madushanka,0,2,3,0,0,0,11,caught,1,Low,8,1,44,2,5.5,1,2,High,v Bangladesh,Chattogram,13-Mar-24
ODI # 4729,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,6,0,52,0,8.66,1,1,High,v Afghanistan,Pallekele,14-Feb-24
ODI # 4727,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,1,-,7,1,28,2,4,1,2,High,v Afghanistan,Pallekele,11-Feb-24
ODI # 4725,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,1,-,9,0,65,0,7.22,1,2,High,v Afghanistan,Pallekele,9-Feb-24
ODI # 4720,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,5,0,31,1,6.2,1,1,High,v Zimbabwe,Colombo (RPS),11-Jan-24
ODI # 4719,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,7,1,24,1,3.42,1,1,Low,v Zimbabwe,Colombo (RPS),8-Jan-24
ODI # 4718,Dilshan Madushanka,3,1,2,0,0,150,11,not out,1,High,2,2,0,2,0,1,2,Low,v Zimbabwe,Colombo (RPS),6-Jan-24
ODI # 4698,Dilshan Madushanka,19,56,48,2,0,39.58,11,caught,1,Low,6.2,0,58,0,9.15,1,2,High,v New Zealand,Bengaluru,9-Nov-23
ODI # 4695,Dilshan Madushanka,0,3,1,0,0,0,11,not out,1,Low,10,1,69,3,6.9,1,2,High,v Bangladesh,Delhi,6-Nov-23
ODI # 4690,Dilshan Madushanka,5,4,6,1,0,83.33,11,caught,2,High,10,0,80,5,8,1,1,High,v India,Wankhede,2-Nov-23
ODI # 4687,Dilshan Madushanka,0,5,4,0,0,0,11,not out,1,Low,9,0,48,2,5.33,1,2,High,v Afghanistan,Pune,30-Oct-23
ODI # 4682,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,5,0,37,0,7.4,1,1,High,v England,Bengaluru,26-Oct-23
ODI # 4676,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,9.4,1,49,4,5.06,1,1,High,v Netherlands,Lucknow,21-Oct-23
ODI # 4671,Dilshan Madushanka,0,12,6,0,0,0,11,not out,1,Low,9,2,38,3,4.22,2,2,High,v Australia,Lucknow,16-Oct-23
ODI # 4665,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,1,-,9.2,0,60,2,6.42,2,2,High,v Pakistan,Hyderabad,10-Oct-23
ODI # 4661,Dilshan Madushanka,4,4,2,1,0,200,11,not out,2,High,10,0,86,2,8.6,2,1,High,v South Africa,Delhi,7-Oct-23
ODI # 4620,Dilshan Madushanka,0,2,0,0,0,-,11,not out,1,-,7,1,18,3,2.57,1,2,Low,v Netherlands,Harare,9-Jul-23
ODI # 4618,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,10,0,49,1,4.9,1,1,High,v West Indies,Harare,7-Jul-23
ODI # 4609,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,5,0,15,3,3,1,1,Low,v Zimbabwe,Bulawayo,2-Jul-23
ODI # 4606,Dilshan Madushanka,1,6,5,0,0,20,11,not out,1,Low,8,0,38,1,4.75,2,2,High,v Netherlands,Bulawayo,30-Jun-23
ODI # 4548,Dilshan Madushanka,4,7,2,1,0,200,11,not out,2,High,8,0,58,1,7.25,2,1,High,v New Zealand,Auckland,25-Mar-23
ODI # 4501,Dilshan Madushanka,DNB,-,-,-,-,-,-,-,2,-,6,0,43,1,7.16,2,1,High,v India,Guwahati,10-Jan-23
ODI # 4490,Dinesh Chandimal,33,51,32,2,1,103.12,3,bowled,2,High,-,-,-,-,-,-,-,-,v Afghanistan,Pallekele,30-Nov-22
ODI # 4488,Dinesh Chandimal,DNB,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,v Afghanistan,Pallekele,27-Nov-22
ODI # 4485,Dinesh Chandimal,14,17,11,3,0,127.27,3,bowled,2,High,-,-,-,-,-,-,-,-,v Afghanistan,Pallekele,25-Nov-22
ODI # 4418,Dinesh Chandimal,6,18,11,1,0,54.54,4,caught,1,High,-,-,-,-,-,-,-,-,v Australia,Colombo (RPS),24-Jun-22
ODI # 4347,Dinesh Chandimal,17,42,24,1,0,70.83,4,lbw,1,High,-,-,-,-,-,-,-,-,v Zimbabwe,Pallekele,21-Jan-22
ODI # 4343,Dinesh Chandimal,2,10,6,0,0,33.33,4,caught,2,Low,-,-,-,-,-,-,-,-,v Zimbabwe,Pallekele,18-Jan-22
ODI # 4341,Dinesh Chandimal,75,143,91,4,1,82.41,4,caught,2,High,-,-,-,-,-,-,-,-,v Zimbabwe,Pallekele,16-Jan-22
ODI # 4318,Dinesh Chandimal,9,30,12,1,0,75,2,lbw,1,High,-,-,-,-,-,-,-,-,v South Africa,Colombo (RPS),7-Sep-21
ODI # 4278,Dinesh Chandimal,16,47,27,2,0,59.25,4,bowled,1,High,-,-,-,-,-,-,-,-,v West Indies,North Sound,14-Mar-21
ODI # 4277,Dinesh Chandimal,71,135,98,3,2,72.44,5,caught,1,High,-,-,-,-,-,-,-,-,v West Indies,North Sound,12-Mar-21
ODI # 4276,Dinesh Chandimal,12,41,24,0,0,50,5,caught,1,High,-,-,-,-,-,-,-,-,v West Indies,North Sound,10-Mar-21
ODI # 4075,Dinesh Chandimal,3,-,12,0,0,25,5,bowled,2,Low,-,-,-,-,-,-,-,-,v New Zealand,Mount Maunganui,5-Jan-19
ODI # 4074,Dinesh Chandimal,10,-,18,0,0,55.55,5,caught,2,High,-,-,-,-,-,-,-,-,v New Zealand,Mount Maunganui,3-Jan-19
ODI # 4058,Dinesh Chandimal,80,-,73,6,2,109.58,3,caught,1,High,-,-,-,-,-,-,-,-,v England,Colombo (RPS),23-Oct-18
ODI # 4055,Dinesh Chandimal,33,-,47,2,0,70.21,3,bowled,1,High,-,-,-,-,-,-,-,-,v England,Pallekele,20-Oct-18
ODI # 4054,Dinesh Chandimal,34,-,42,2,0,80.95,4,caught,1,High,-,-,-,-,-,-,-,-,v England,Pallekele,17-Oct-18
ODI # 4053,Dinesh Chandimal,6,17,13,1,0,46.15,3,bowled,2,Low,-,-,-,-,-,-,-,-,v England,Dambulla,13-Oct-18
ODI # 4052,Dinesh Chandimal,TDNB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v England,Dambulla,10-Oct-18
ODI # 3967,Dinesh Chandimal,45,-,74,0,1,60.81,5,bowled,1,High,-,-,-,-,-,-,-,-,v Bangladesh,Mirpur,27-Jan-18
ODI # 3965,Dinesh Chandimal,DNB,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,v Bangladesh,Mirpur,25-Jan-18
ODI # 3962,Dinesh Chandimal,38,-,71,2,0,53.52,5,not out,2,High,-,-,-,-,-,-,-,-,v Zimbabwe,Mirpur,21-Jan-18
ODI # 3959,Dinesh Chandimal,28,-,39,0,1,71.79,5,run out,2,High,-,-,-,-,-,-,-,-,v Bangladesh,Mirpur,19-Jan-18
ODI # 3955,Dinesh Chandimal,34,-,33,3,1,103.03,5,bowled,2,High,-,-,-,-,-,-,-,-,v Zimbabwe,Mirpur,17-Jan-18
ODI # 3930,Dinesh Chandimal,0,-,1,0,0,0,3,caught,1,Low,-,-,-,-,-,-,-,-,v Pakistan,Sharjah,23-Oct-17
ODI # 3927,Dinesh Chandimal,16,-,24,2,0,66.66,3,run out,1,High,-,-,-,-,-,-,-,-,v Pakistan,Sharjah,20-Oct-17
ODI # 3926,Dinesh Chandimal,19,-,49,1,0,38.77,3,lbw,1,Low,-,-,-,-,-,-,-,-,v Pakistan,Abu Dhabi,18-Oct-17
ODI # 3924,Dinesh Chandimal,2,-,4,0,0,50,5,bowled,2,High,-,-,-,-,-,-,-,-,v Pakistan,Abu Dhabi,16-Oct-17
ODI # 3922,Dinesh Chandimal,4,-,9,0,0,44.44,3,lbw,2,Low,-,-,-,-,-,-,-,-,v Pakistan,Dubai (DICS),13-Oct-17
ODI # 3907,Dinesh Chandimal,36,-,71,4,0,50.7,2,caught,1,High,-,-,-,-,-,-,-,-,v India,Pallekele,27-Aug-17
ODI # 3888,Dinesh Chandimal,0,3,2,0,0,0,4,bowled,1,Low,-,-,-,-,-,-,-,-,v Pakistan,Cardiff,12-Jun-17
ODI # 3882,Dinesh Chandimal,DNB,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,v India,The Oval,8-Jun-17
ODI # 3877,Dinesh Chandimal,12,29,21,1,0,57.14,4,run out,2,High,-,-,-,-,-,-,-,-,v South Africa,The Oval,3-Jun-17
ODI # 3858,Dinesh Chandimal,21,-,35,2,0,60,4,run out,1,High,-,-,-,-,-,-,-,-,v Bangladesh,Colombo (SSC),1-Apr-17
ODI # 3856,Dinesh Chandimal,24,53,30,1,0,80,4,lbw,1,High,-,-,-,-,-,-,-,-,v Bangladesh,Dambulla,28-Mar-17
ODI # 3855,Dinesh Chandimal,59,-,70,6,0,84.28,4,caught,2,High,-,-,-,-,-,-,-,-,v Bangladesh,Dambulla,25-Mar-17
ODI # 3831,Dinesh Chandimal,4,16,14,0,0,28.57,4,caught,1,Low,-,-,-,-,-,-,-,-,v South Africa,Johannesburg,4-Feb-17
ODI # 3830,Dinesh Chandimal,36,70,46,4,0,78.26,4,caught,2,High,-,-,-,-,-,-,-,-,v South Africa,Durban,1-Feb-17
ODI # 3828,Dinesh Chandimal,22,93,55,1,0,40,4,bowled,1,Low,-,-,-,-,-,-,-,-,v South Africa,Gqeberha,28-Jan-17
ODI # 3776,Dinesh Chandimal,1,4,3,0,0,33.33,4,caught,1,Low,-,-,-,-,-,-,-,-,v Australia,Pallekele,4-Sep-16
ODI # 3774,Dinesh Chandimal,5,16,14,1,0,35.71,4,caught,1,Low,-,-,-,-,-,-,-,-,v Australia,Dambulla,31-Aug-16
ODI # 3772,Dinesh Chandimal,102,213,130,7,0,78.46,4,caught,1,High,-,-,-,-,-,-,-,-,v Australia,Dambulla,28-Aug-16
